"dist_id","dist_name","dist_code","state_id","is_active","lang_id","old_dist_code","old_dist_name","ro_id"
129,JUNAGARH,"28",6,true,99,,,2
453,SORENG (WEST SIKKIM),"01",21,true,108,,WEST SIKKIM,8
454,MANGAN (NORTH SIKKIM),"02",21,true,108,,NORTH SIKKIM,8
602,NORTH WEST DELHI (MUNGESHPUR),"01",29,true,100,,NORTH WEST DELHI,7
1124,NVS,"1",36,true,,,,
173,RAJOURI,"05",9,true,100,,,6
174,UDHAMPUR,"06",9,true,100,,,6
175,ANANTNAG,"07",9,true,100,,,6
176,GANDERBAL,"08",9,true,100,,,6
177,BUDGAM,"09",9,true,100,,,6
178,KATHUA,"10",9,true,100,,,6
179,POONCH,"11",9,true,100,,,6
180,JAMMU-I,"12",9,true,100,,,6
181,SAMBA,"13",9,true,100,,,6
182,KULGAM,"14",9,true,100,,,6
183,REASI,"15",9,true,100,,,6
184,JAMMU-II,"16",9,true,100,,,6
185,RAMBAN,"17",9,true,100,,,6
186,KISHTWAR,"18",9,true,100,,,6
187,PULWAMA,"19",9,true,100,,,6
188,BANDIPORA,"20",9,true,100,,,6
2,ANNAMAYYA (CHITTOOR),"02",1,true,115,,CHITTOOR,3
17,NAMSAI (LOHIT),"02",2,true,100,,LOHIT,8
157,CHAMBA,"01",8,true,100,,,6
189,BANGALORE RURAL,"01",10,true,101,,,3
220,ERNAKULAM,"01",11,true,105,,,3
234,BHIND,"01",12,true,100,,,9
288,AMRAVATI,"01",13,true,107,,,4
333,EAST GARO HILLS,"01",15,true,100,,,8
353,KOHIMA,"01",17,true,100,,,8
364,CUTTACK,"01",18,true,109,,,10
395,MUKTSAR,"01",19,true,110,,,6
418,BANSWARA-I,"01",20,true,100,,,7
457,BOKARO,"01",22,true,100,,,1
483,KHOWAI,"01",23,true,96,,,8
491,BAREILLY,"01",24,true,100,,,5
598,CHANDIGARH,"01",27,true,100,,,6
599,SILVASA,"01",28,true,99,,,2
608,KARAIKAL,"01",31,true,114,,,3
612,U S NAGAR,"01",32,true,100,,,5
625,DARJEELING,"01",33,true,96,,,1
652,LEH,"01",35,true,100,,,6
62,AURANGABAD,"02",4,true,100,,,1
101,NORTH GOA,"02",5,true,100,,,4
103,KHEDA,"02",6,true,99,,,2
137,HISSAR,"02",7,true,100,,,7
158,MANDI,"02",8,true,100,,,6
190,CHIKMAGALUR,"02",10,true,101,,,3
221,IDUKKI,"02",11,true,105,,,3
235,BETUL,"02",12,true,100,,,9
289,BULDANA,"02",13,true,107,,,4
323,BISHNUPUR,"02",14,true,106,,,8
334,SOUTH GARO HILLS,"02",15,true,100,,,8
346,SIAHA,"02",16,true,100,,,8
354,WOKHA,"02",17,true,100,,,8
365,DHENKANAL,"02",18,true,109,,,10
396,FATEHGARH SAHIB,"02",19,true,110,,,6
419,CHURU,"02",20,true,100,,,7
458,DEOGHAR,"02",22,true,100,,,1
484,DHALAI,"02",23,true,96,,,8
492,BULANDSHAHR,"02",24,true,100,,,5
568,DANTEWADA,"02",25,true,100,,,10
596,NORTH & MIDDLE ANDAMAN,"02",26,true,100,,,3
600,DAMAN,"02",28,true,99,,,2
609,PUDUCHERRY,"02",31,true,114,,,3
613,RUDRAPRAYAG,"02",32,true,100,,,5
626,MURSHIDABAD,"02",33,true,96,,,1
653,KARGIL,"02",35,true,100,,,6
607,LAKSHADWEEP (MINICOY),"01",30,true,105,,MINICOY,3
18,LONGDING,"03",2,true,100,,,8
35,KAMRUP,"03",3,true,95,,,8
63,BANKA,"03",4,true,100,,,1
104,BHARUCH,"03",6,true,99,,,2
138,JIND,"03",7,true,100,,,7
159,SHIMLA,"03",8,true,100,,,6
191,CHIKKABALLAPURA,"03",10,true,101,,,3
222,KASARAGOD,"03",11,true,105,,,3
236,BALAGHAT,"03",12,true,100,,,9
290,GADCHIROLI,"03",13,true,107,,,4
324,CHURACHANDPUR,"03",14,true,106,,,8
335,RI-BHOI,"03",15,true,100,,,8
347,CHAMPHAI,"03",16,true,100,,,8
355,PHEK,"03",17,true,100,,,8
366,KEONJHAR,"03",18,true,109,,,10
397,SANGRUR,"03",19,true,110,,,6
459,DUMKA,"03",22,true,100,,,1
485,GOMTI TRIPURA,"03",23,true,96,,,8
569,DURG,"03",25,true,100,,,10
595,NICOBAR,"01",26,true,100,,CAR NICOBAR,3
310,CHHATRAPATI SAMBHAJINAGAR (AURANGABAD),"23",13,true,107,,AURANGABAD,4
507,PRAYAGRAJ (ALLAHABAD),"17",24,true,100,,PRAYAGRAJ,5
649,KAMAREDDY (NIZAMABAD),"07",34,true,115,"",NIZAMABAD,3
646,NAGARKURNOOL (MAHABUBNAGAR),"04",34,true,115,"",MAHABUBNAGAR,3
1076,NIZAMABAD (NEW),"14",34,true,115,"",NIZAMABAD,3
1070,MAHABUBNAGAR (NEW),"12",34,true,115,"",MAHABUBNAGAR,3
14,ELURU (WEST GODAVARI),"14",1,true,115,,WEST GODAVARI,3
202,VIJAYAPURA (BIJAPUR),"14",10,true,101,,BIJAPUR,3
60,BISWANATH (SONITPUR OLD),"28",3,true,95,,BISWANATH,8
217,BENGALURU SOUTH (RAMNAGARA),"29",10,true,101,,RAMNAGARA,3
243,DHAR,"10",12,true,100,,,9
297,JALGAON,"10",13,true,107,,,4
597,SOUTH ANDAMAN,"03",26,true,100,,,3
601,DIU,"03",28,true,99,,,2
604,EAST DELHI,"03",29,true,100,,,7
610,MAHE,"03",31,true,105,,,3
614,UTTARKASHI,"03",32,true,100,,,5
627,NORTH 24 PARGANA,"03",33,true,96,,,1
